127.0.0.1, 2015-04-30 12:22:25, GET, /, HTTP/1.1, 303, 0.002075
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/default/index, HTTP/1.1, 200, 1.456068
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001128
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000918
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001452
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001146
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001034
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001399
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000988
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001132
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001015
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001368
127.0.0.1, 2015-04-30 12:22:26, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001003
127.0.0.1, 2015-04-30 12:22:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000882
127.0.0.1, 2015-04-30 12:22:27, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000833
127.0.0.1, 2015-04-30 12:22:27, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001044
127.0.0.1, 2015-04-30 12:22:27, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000966
127.0.0.1, 2015-04-30 12:22:27, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000800
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/default/site, HTTP/1.1, 303, 1.917970
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/default/index, HTTP/1.1, 200, 0.144797
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.001602
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001050
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.002709
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002063
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.004141
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001395
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.003718
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004586
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005515
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001302
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.001791
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001302
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001027
127.0.0.1, 2015-04-30 12:23:58, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.001071
127.0.0.1, 2015-04-30 12:23:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2015-04-30 12:23:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2015-04-30 12:24:05, POST, /admin/default/index, HTTP/1.1, 303, 0.055250
127.0.0.1, 2015-04-30 12:24:05, GET, /admin/default/site, HTTP/1.1, 200, 0.060981
127.0.0.1, 2015-04-30 12:24:05, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.001289
127.0.0.1, 2015-04-30 12:24:05, GET, /admin/static/_2.10.4/images/folder.png, HTTP/1.1, 200, 0.000933
127.0.0.1, 2015-04-30 12:24:05, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001174
127.0.0.1, 2015-04-30 12:24:06, POST, /admin/default/check_version, HTTP/1.1, 200, 0.536515
127.0.0.1, 2015-04-30 12:25:56, POST, /admin/default/site, HTTP/1.1, 303, 0.438277
